date,KBP6006D,KBP6006L
19600100,565040,5296
19600200,574255,5353
19600300,584836,5424
19600400,590609,5572
19610100,594892,5603
19610200,592293,5585
19610300,605522,5769
19610400,611027,5825
19620100,626831,5933
19620200,630847,5996
19620300,643161,6129
19620400,651399,6224
19630100,660015,6425
19630200,677467,6589
19630300,695347,6891
19630400,707600,7017
19640100,720854,7210
19640200,733901,7339
19640300,740796,7402
19640400,762459,7687
19650100,777129,8006
19650200,784647,8065
19650300,782169,8091
19650400,795179,8221
19660100,806346,8483
19660200,815121,8723
19660300,827130,8933
19660400,829852,9160
19670100,860021,9427
19670200,861388,9622
19670300,904702,10240
19670400,888274,10077
19680100,902859,10394
19680200,906862,10422
19680300,916650,10717
19680400,933980,11023
19690100,940692,11494
19690200,939899,11781
19690300,982822,12307
19690400,969556,12360
19700100,990426,12665
19700200,1010636,13145
19700300,998969,13028
19700400,1034117,13785
19710100,1049434,13899
19710200,1040879,14257
19710300,1054438,14787
19710400,1062017,15229
19720100,1055756,15714
19720200,1066801,15869
19720300,1067460,16589
19720400,1086364,17499
19730100,1100375,18637
19730200,1095481,19442
19730300,1127164,21032
19730400,1148876,22209
19740100,1170343,23533
19740200,1186429,24583
19740300,1199866,25346
19740400,1188540,26578
19750100,1183780,27331
19750200,1204186,27408
19750300,1213827,28843
19750400,1223835,29164
19760100,1239921,30308
19760200,1215182,31590
19760300,1244094,32438
19760400,1235002,32980
19770100,1232305,33349
19770200,1233489,34168
19770300,1228729,36207
19770400,1235039,37673
19780100,1255347,38328
19780200,1279609,39302
19780300,1265843,41951
19780400,1277364,42991
19790100,1299722,45962
19790200,1308119,45920
19790300,1317882,48757
19790400,1344927,53517
19800100,1372558,61687
19800200,1398651,62313
19800300,1422596,66708
19800400,1425794,67804
19810100,1443502,71314
19810200,1475027,73627
19810300,1496494,76212
19810400,1505830,78820
19820100,1491881,80307
19820200,1479432,83087
19820300,1479054,87170
19820400,1447786,90048
19830100,1425440,92412
19830200,1431359,95934
19830300,1447859,99069
19830400,1484583,102147
19840100,1509773,108474
19840200,1541138,112179
19840300,1515594,116380
19840400,1517937,119384
19850100,1508894,125195
19850200,1497922,129029
19850300,1493968,132552
19850400,1509943,139926
19860100,1491954,143062
19860200,1502255,151158
19860300,1505635,157884
19860400,1511957,165050
19870100,1522953,171327
19870200,1528384,174885
19870300,1533962,183418
19870400,1552793,191725
19880100,1576131,202280
19880200,1587322,211295
19880300,1608670,222083
19880400,1623775,229867
19890100,1633832,242596
19890200,1640920,258966
19890300,1642239,265821
19890400,1632076,271521
19900100,1633382,284810
19900200,1632034,298256
19900300,1630663,303135
19900400,1632176,309684
19910100,1619194,323198
19910200,1615540,335090
19910300,1614913,350668
19910400,1612135,360025
19920100,1600838,369428
19920200,1591019,377718
19920300,1572599,386707
19920400,1559236,401037
19930100,1573049,416493
19930200,1590304,430754
19930300,1613196,447318
19930400,1625148,460971
19940100,1622832,479913
19940200,1640437,487950
19940300,1658888,495674
19940400,1686577,521395
19950100,1692669,539603
19950200,1700185,552454
19950300,1707524,572610
19950400,1714263,590813
19960100,1738318,605190
19960200,1770877,629704
19960300,1790973,643524
19960400,1807959,660026
19970100,1813153,679105
19970200,1824244,695908
19970300,1828055,711181
19970400,1830815,726274
19980100,1833129,737208
19980200,1835721,761796
19980300,1831698,766165
19980400,1833468,781463
19990100,1850328,800641
19990200,1865054,814763
19990300,1885422,850548
19990400,1906156,873060
20000100,1927597,894464
20000200,1945333,928596
20000300,1964599,968489
20000400,1981313,993747
20010100,1994180,1017247
20010200,2004149,1032646
20010300,2009472,1048880
20010400,2024922,1085803
20020100,2051198,1157179
20020200,2076037,1201076
20020300,2093066,1239982
20020400,2107049,1270823
20030100,2126547,1292589
20030200,2136932,1311882
20030300,2148528,1334454
20030400,2160922,1364139
20040100,2193636,1421292
20040200,2224290,1457361
20040300,2260660,1489773
20040400,2284801,1538066
20050100,2308029,1568975
20050200,2349448,1617023
20050300,2381486,1660010
20050400,2397432,1711008
20060100,2439551,1736896
20060200,2474200,1795887
20060300,2508372,1884774
20060400,2543057,1940043
20070100,2584351,2032399
20070200,2605530,2065900
20070300,2636065,2118818
20070400,2673414,2220891
20080100,2684648,2296846
20080200,2717424,2346715
20080300,2723918,2408850
20080400,2708410,2423841
20090100,2666281,2459962
20090200,2657131,2461661
20090300,2663293,2524943
20090400,2681051,2584142
20100100,2711577,2642079
20100200,2730077,2752516
20100300,2760428,2764220
20100400,2789950,2833217
20110100,2816474,2936730
20110200,2832667,2991459
20110300,2841114,3050117
20110400,2862777,3116330
20120100,2874224,3154595
20120200,2900027,3237187
20120300,2908700,3281878
20120400,2921353,3341744
20130100,2934110,3419044
20130200,2964829,3508154
20130300,2978123,3587248
20130400,3016106,3644714
20140100,3003940,3709856
20140200,3009101,3769777
20140300,3025823,3846524
20140400,3056440,3904547
20150100,3071177,3939172
20150200,3056876,4041043
20150300,3060197,4069879
20150400,3064154,4148942
20160100,3052752,4222543
20160200,3076468,4323214
20160300,3079882,4371654
20160400,3077530,4438021
20170100,3072414,4439581
